#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	known_domains
#open	2019-02-15-16-26-46
#fields	ts	domain
#types	time	string
1550266479.617485	dnl-04.geo.kaspersky.com
1550266479.617490	dnl-05.geo.kaspersky.com
1550266479.617495	dnl-06.geo.kaspersky.com
1550266479.617499	dnl-07.geo.kaspersky.com
1550266479.617503	dnl-08.geo.kaspersky.com
1550266479.617505	dnl-09.geo.kaspersky.com
1550266479.617509	dnl-10.geo.kaspersky.com
1550266479.617514	dnl-11.geo.kaspersky.com
1550266479.617516	dnl-12.geo.kaspersky.com
1550266479.617524	dnl-13.geo.kaspersky.com
1550266479.617608	dnl-14.geo.kaspersky.com
1550266479.617612	dnl-15.geo.kaspersky.com
1550266479.617637	dnl-16.geo.kaspersky.com
1550266479.617658	xml.searcharbor.com
1550266479.617694	filter.searcharbor.com
1550266479.618008	7093.bapi.adsafeprotected.com
1550266479.618249	fw.adsafeprotected.com
1550266479.618251	dnl-18.geo.kaspersky.com
1550266479.618255	click2.danarimedia.com
1550266479.618269	static.adsafeprotected.com
1550266479.618283	dnl-19.geo.kaspersky.com
1550266479.618323	liveupdate.symantec.com
1550266479.618352	update.symantec.com
1550266479.618380	securityresponse.symantec.com
1550266479.618394	download.mcafee.com
1550266479.618421	iau.activeupdate.trendmicro.com
1550266479.618432	gr.trendmicro.com
1550266479.618437	emea.trendmicro.com
1550266479.618497	203855934.143.127.click2.danarimedia.com
1550266479.618503	update.drweb.com
1550266479.618889	download.geo.drweb.com
1550266479.618903	data-cdn.mbamupdates.com
1550266479.618944	acs.pandasoftware.com
1550266479.618998	enterprise.updates.pandasoftware.com
1550266479.619019	pcopsupport.pandasecurity.com
1550266479.619077	node224.click.adcenter.danarimedia.com
1550266479.619905	www.90min.com
1550266479.620603	javadl-esd-secure.oracle.com
1550266479.621319	pcoplinux.updates.pandasecurity.com
1550266479.621401	pcoplinux.downloads.pandasecurity.com
1550266479.621513	download.comodo.com
1550266479.622038	www.microsoft.com
1550266479.622050	microsoft.com
1550266479.622055	windows.microsoft.com
1550266479.622143	srvabc.com
1550266479.622165	2716072107.61.61.click2.danarimedia.com
1550266479.622175	dt.adsafeprotected.com
1550266479.622242	static.90min.com
1550266479.622268	b.scorecardresearch.com
1550266479.622778	xml2.danarimedia.com
1550266479.623234	xml.adsource.com
1550266479.623967	www.ecoholidaydestinations.com
1550266479.624543	support.microsoft.com
1550266479.624548	www.worldwiderecipe.com
1550266479.625292	delivery.sunfishads.com
1550266479.625303	platform.twitter.com
1550266479.625305	partner.googleadservices.com
1550266479.627584	answers.microsoft.com
1550266479.627613	www.avast.com
1550266479.627631	avast.com
1550266479.627642	support.avast.com
1550266479.628130	forum.avast.com
1550266479.628136	www.avg.com
1550266479.628144	avg.com
1550266479.628217	platform.linkedin.com
1550266479.630074	assets.pinterest.com
1550266479.630117	www.advconversion.com
