#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	software
#open	2019-02-15-16-27-02
#fields	ts	host	host_p	software_type	name	version.major	version.minor	version.minor2	version.minor3	version.addl	unparsed_version	o_host	QQ_num	o_host
#types	time	addr	port	enum	string	count	count	count	count	string	string	addr	string	addr
1550266480.149682	192.168.120.154	-	HTTP::BROWSER	Java	1	6	0	20	-	Mozilla/4.0 (Windows 7 6.1) Java/1.6.0_20	-	-	-
1550266480.603296	172.16.101.196	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)	-	-	-
1550266480.621622	172.16.101.196	-	HTTP::BROWSER	contype	-	-	-	-	-	contype	-	-	-
1550266481.135103	172.16.138.158	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266481.138907	172.16.138.158	-	HTTP::BROWSER	Shockwave Flash	-	-	-	-	-	Shockwave Flash	-	-	-
1550266481.173573	172.16.138.158	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	-	-	-
1550266481.178870	172.16.138.158	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266481.245571	172.16.138.158	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	-	-	-
1550266481.251079	172.16.138.158	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266481.319589	172.16.138.158	-	HTTP::BROWSER	MSIE	10	0	-	-	-	Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/6.0)	-	-	-
1550266481.324531	172.16.138.158	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266481.791136	192.168.122.200	-	HTTP::BROWSER	Microsoft NCSI	-	-	-	-	-	Microsoft NCSI	-	-	-
1550266481.791189	192.168.122.200	-	HTTP::BROWSER	MSIE	8	0	-	-	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)	-	-	-
1550266481.822209	192.168.122.200	-	HTTP::BROWSER	Java	1	6	0	25	-	Mozilla/4.0 (Windows 7 6.1) Java/1.6.0_25	-	-	-
1550266482.343466	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 5.1; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
1550266482.343491	10.200.2.252	-	HTTP::BROWSER	Chrome	36	0	1985	143	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36	-	-	-
1550266482.343563	10.200.2.252	-	HTTP::BROWSER	Chrome	38	0	2125	111	-	Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	-	-
1550266482.343603	10.200.2.252	-	HTTP::BROWSER	Firefox	35	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0	-	-	-
1550266482.343730	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 5.1; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
1550266482.346237	10.200.2.252	-	HTTP::BROWSER	Chrome	36	0	1985	143	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36	-	-	-
1550266482.346276	10.200.2.252	-	HTTP::BROWSER	MSIE	11	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko	-	-	-
1550266482.347347	10.200.2.252	-	HTTP::BROWSER	Firefox	34	0	-	-	-	Mozilla/5.0 (Windows NT 6.1; WOW64; rv:34.0) Gecko/20100101 Firefox/34.0	-	-	-
1550266482.347405	10.200.2.252	-	HTTP::BROWSER	Firefox	31	0	-	-	-	Mozilla/5.0 (Windows NT 6.2; WOW64; rv:31.0) Gecko/20100101 Firefox/31.0	-	-	-
1550266482.348460	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	120	-	Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36	-	-	-
1550266482.349201	10.200.2.252	-	HTTP::BROWSER	Chrome	38	0	2125	111	-	Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36	-	-	-
1550266482.349240	10.200.2.252	-	HTTP::BROWSER	Chrome	37	0	2062	120	-	Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/37.0.2062.120 Safari/537.36	-	-	-
1550266482.349335	10.200.2.252	-	HTTP::BROWSER	Firefox	33	0	-	-	-	Mozilla/5.0 (Windows NT 5.1; rv:33.0) Gecko/20100101 Firefox/33.0	-	-	-
